zzz ***Sat Mar 6 10:53:49 EST 2021
Linux 5.3.18-lp152.60-default (proxima.internal.paredes.pw) 	03/06/2021 	_x86_64_	(20 CPU)

03/06/2021 10:53:49 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.04    0.00    0.02    0.01    0.00   99.93

Device            r/s     w/s     rkB/s     wkB/s   rrqm/s   wrqm/s  %rrqm  %wrqm r_await w_await aqu-sz rareq-sz wareq-sz  svctm  %util
sda              0.05    0.40      7.08     40.80     0.03     0.03  36.77   6.34    5.51    1.03   0.00   136.71   101.26   0.85   0.04
sdb              0.00    0.07      0.15      5.21     0.00     0.02   1.48  22.39    8.38   40.68   0.00    42.76    80.17   5.93   0.04
sdc              0.03    0.09     14.21    101.56     0.00     0.02   0.35  14.16    9.58  162.40   0.02   435.67  1101.47   5.31   0.07
sdd              0.00    0.00      0.01      0.00     0.00     0.00   0.00   0.00    2.14    0.00   0.00    60.91     0.00   3.95   0.00
system-root      0.08    0.42      7.03     40.60     0.00     0.00   0.00   0.00    9.85    0.88   0.00    87.55    96.14   0.72   0.04
sde              0.00    0.00      0.01      0.00     0.00     0.00   0.00   0.00    1.31    0.00   0.00    47.57     0.00   1.29   0.00
vg-work          0.03    0.03     14.20    101.56     0.00     0.00   0.00   0.00    9.35  134.01   0.00   428.61  3135.07   6.59   0.04
system-swap      0.00    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.40    6.99   0.00    14.55     4.00   1.82   0.00
system-home      0.00    0.08      0.13      5.49     0.00     0.00   0.00   0.00    8.73   37.45   0.00    39.74    67.40   4.72   0.04
loop0            0.01    0.00      3.07      0.00     0.00     0.00   0.00   0.00    4.56    0.00   0.00   328.77     0.00   4.58   0.00
loop1            0.00    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.36    0.00   0.00     5.93     0.00   0.39   0.00

03/06/2021 10:53:50 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.05    0.00    0.00    0.00    0.00   99.95

Device            r/s     w/s     rkB/s     wkB/s   rrqm/s   wrqm/s  %rrqm  %wrqm r_await w_await aqu-sz rareq-sz wareq-sz  svctm  %util
sda              0.00    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.00    0.00   0.00     0.00     0.00   0.00   0.00
sdb              0.00    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.00    0.00   0.00     0.00     0.00   0.00   0.00
sdc              0.00    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.00    0.00   0.00     0.00     0.00   0.00   0.00
sdd              0.00    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.00    0.00   0.00     0.00     0.00   0.00   0.00
system-root      0.00    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.00    0.00   0.00     0.00     0.00   0.00   0.00
sde              0.00    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.00    0.00   0.00     0.00     0.00   0.00   0.00
vg-work          0.00    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.00    0.00   0.00     0.00     0.00   0.00   0.00
system-swap      0.00    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.00    0.00   0.00     0.00     0.00   0.00   0.00
