zzz ***Sat Mar 6 11:22:08 EST 2021
Netid  State      Recv-Q  Send-Q                                  Local Address:Port                                        Peer Address:Port                                                                                                   
nl     UNCONN     0       0                                                  15:1                                                       *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:4115                                                    *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:4462                                                    *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:1483                                                    *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:2228                                                    *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:-1860219568                                             *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:-1534655749                                             *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:-762555211                                              *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:3005                                                    *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:4364                                                    *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:2947                                                    *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:-979305574                                              *                        sk=0 cb=0 groups=0x00000001                                                    
nl     UNCONN     0       0                                                  15:1                                                       *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:4323                                                    *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:4462                                                    *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:4364                                                    *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:-762555211                                              *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:4242                                                    *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:4115                                                    *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:3005                                                    *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:2954                                                    *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:2947                                                    *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:2228                                                    *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:1618                                                    *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:-1259482182                                             *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:-1534655749                                             *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:-343929291                                              *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:-750177229                                              *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:-1860219568                                             *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:1554                                                    *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  15:1483                                                    *                        sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN     0       0                                                  16:2130717468                                              *                        sk=0 cb=0 groups=0x00000000                                                    
nl     UNCONN     0       0                                                  16:-281007332                                              *                        sk=0 cb=0 groups=0x00000000                                                    
nl     UNCONN     0       0                                                  16:0                                                       *                        sk=0 cb=0 groups=0x00000000                                                    
nl     UNCONN     0       0                                                  16:1483                                                    *                        sk=0 cb=0 groups=0x00000000                                                    
nl     UNCONN     0       0                                                  16:-998233316                                              *                        sk=0 cb=0 groups=0x00000000                                                    
nl     UNCONN     0       0                                                  16:-1849677028                                             *                        sk=0 cb=0 groups=0x000001e0                                                    
nl     UNCONN     0       0                                                  16:-1849677028                                             *                        sk=0 cb=0 groups=0x000001e0                                                    
nl     UNCONN     0       0                                                  18:0                                                       *                        sk=0 cb=0 groups=0x00000000                                                    
p_dgr  UNCONN     0       0                                                 [0]:*                                                       *                        users:(("wpa_supplicant",pid=11036,fd=12)) ino:5760781 sk:1c3
	ver:0 cpy_thresh:0 flags( 0 )
p_dgr  UNCONN     0       0                                             [35085]:wlan0                                                   *                        users:(("wpa_supplicant",pid=11036,fd=14)) ino:5760789 sk:1c4
	ver:0 cpy_thresh:0 flags( running )
p_dgr  UNCONN     0       0                                             [34958]:wlan0                                                   *                        users:(("wpa_supplicant",pid=11036,fd=13)) ino:9921858 sk:6b9
	ver:0 cpy_thresh:0 flags( running )
u_str  LISTEN     0       128                              @/tmp/.ICE-unix/4315 63524                                                  * 0                       users:(("ksmserver",pid=4315,fd=12)) <-> peers:                                
u_str  LISTEN     0       128                         /run/user/501/kdeinit5__0 63496                                                  * 0                       users:(("kdeinit5",pid=4275,fd=7)) <-> ino:63497 dev:0/68 peers:               
u_str  LISTEN     0       128                          /run/lvm/lvmpolld.socket 5725965                                                * 0                       users:(("systemd",pid=1,fd=179)) <-> ino:5725966 dev:0/25 peers:               
u_str  LISTEN     0       128                              /var/run/nscd/socket 38929                                                  * 0                       users:(("nscd",pid=1411,fd=16)) <-> ino:38930 dev:0/25 peers:                  
u_str  LISTEN     0       128                                @/tmp/.X11-unix/X0 57648                                                  * 0                       users:(("X",pid=4242,fd=5)) <-> peers:                                         
u_str  LISTEN     0       1                                @irqbalance1398.sock 30997                                                  * 0                       users:(("irqbalance",pid=1398,fd=5)) <-> peers:                                
u_str  LISTEN     0       128                               /run/cups/cups.sock 5778495                                                * 0                       users:(("cupsd",pid=20556,fd=3),("systemd",pid=1,fd=180)) <-> ino:5778496 dev:0/25 peers:
u_dgr  UNCONN     0       0                          /run/user/0/systemd/notify 32578                                                  * 0                       users:(("systemd",pid=2228,fd=14)) <-> ino:32579 dev:0/62                      
u_str  LISTEN     0       128                       /run/user/0/systemd/private 32582                                                  * 0                       users:(("systemd",pid=2228,fd=17)) <-> ino:32583 dev:0/62 peers:               
u_str  LISTEN     0       5            /run/uscreens/S-rich/32140.pts-1.proxima 8552011                                                * 0                       users:(("screen",pid=32140,fd=4)) <-> ino:8552012 dev:0/25 peers:              
u_str  LISTEN     0       128                                   /run/user/0/bus 32587                                                  * 0                       users:(("dbus-daemon",pid=2878,fd=3),("systemd",pid=2228,fd=22)) <-> ino:32588 dev:0/62 peers:
u_str  LISTEN     0       5                              /run/user/0/pipewire-0 32589                                                  * 0                       users:(("systemd",pid=2228,fd=24)) <-> ino:32590 dev:0/62 peers:               
u_dgr  UNCONN     0       0                                 /run/systemd/notify 20062                                                  * 0                       users:(("systemd",pid=1,fd=24)) <-> ino:20063 dev:0/25                         
u_dgr  UNCONN     0       0                        /run/systemd/journal/dev-log 20076                                                  * 0                       users:(("systemd-journal",pid=11264,fd=5),("systemd",pid=1,fd=156)) <-> ino:20078 dev:0/25
u_str  LISTEN     0       128                                 /run/rpcbind.sock 85614                                                  * 0                       users:(("rpcbind",pid=9106,fd=3),("systemd",pid=1,fd=43)) <-> ino:85615 dev:0/25 peers:
u_str  LISTEN     0       128                       /run/systemd/journal/stdout 20080                                                  * 0                       users:(("systemd-journal",pid=11264,fd=3),("systemd",pid=1,fd=176)) <-> ino:20081 dev:0/25 peers:
u_dgr  UNCONN     0       0                        /var/run/chrony/chronyd.sock 29298                                                  * 0                       users:(("chronyd",pid=1559,fd=3)) <-> ino:29299 dev:0/25                       
u_dgr  UNCONN     0       0                         /run/systemd/journal/socket 20082                                                  * 0                       users:(("systemd-journal",pid=11264,fd=4),("systemd",pid=1,fd=177)) <-> ino:20083 dev:0/25
u_str  LISTEN     0       100                                    public/cleanup 5658559                                                * 0                       users:(("master",pid=12165,fd=21)) <-> ino:158606 dev:0/60 peers:              
u_str  LISTEN     0       100                                   private/rewrite 5658564                                                * 0                       users:(("master",pid=12165,fd=27)) <-> ino:158608 dev:0/60 peers:              
u_str  LISTEN     0       100                                    private/bounce 5658567                                                * 0                       users:(("master",pid=12165,fd=30)) <-> ino:158609 dev:0/60 peers:              
u_str  LISTEN     0       100                                     private/defer 5658570                                                * 0                       users:(("master",pid=12165,fd=33)) <-> ino:158610 dev:0/60 peers:              
u_str  LISTEN     0       100                                     private/trace 5658573                                                * 0                       users:(("master",pid=12165,fd=36)) <-> ino:158611 dev:0/60 peers:              
u_str  LISTEN     0       100                                    private/verify 5658576                                                * 0                       users:(("master",pid=12165,fd=39)) <-> ino:158612 dev:0/60 peers:              
u_str  LISTEN     0       100                                      public/flush 5658579                                                * 0                       users:(("master",pid=12165,fd=42)) <-> ino:158613 dev:0/60 peers:              
u_str  LISTEN     0       100                                  private/proxymap 5658582                                                * 0                       users:(("master",pid=12165,fd=45)) <-> ino:158614 dev:0/60 peers:              
u_str  LISTEN     0       100                                private/proxywrite 5658585                                                * 0                       users:(("master",pid=12165,fd=48)) <-> ino:158615 dev:0/60 peers:              
u_str  LISTEN     0       100                                      private/smtp 5658588                                                * 0                       users:(("master",pid=12165,fd=51)) <-> ino:158616 dev:0/60 peers:              
u_str  LISTEN     0       100                                     private/relay 5658591                                                * 0                       users:(("master",pid=12165,fd=54)) <-> ino:158617 dev:0/60 peers:              
u_str  LISTEN     0       100                                      public/showq 5658594                                                * 0                       users:(("master",pid=12165,fd=57)) <-> ino:158618 dev:0/60 peers:              
u_str  LISTEN     0       100                                     private/error 5658597                                                * 0                       users:(("master",pid=12165,fd=60)) <-> ino:158619 dev:0/60 peers:              
u_str  LISTEN     0       100                                     private/retry 5658600                                                * 0                       users:(("master",pid=12165,fd=63)) <-> ino:158620 dev:0/60 peers:              
u_str  LISTEN     0       100                                   private/discard 5658603                                                * 0                       users:(("master",pid=12165,fd=66)) <-> ino:158621 dev:0/60 peers:              
u_str  LISTEN     0       100                                     private/local 5658606                                                * 0                       users:(("master",pid=12165,fd=69)) <-> ino:158622 dev:0/60 peers:              
u_str  LISTEN     0       100                                   private/virtual 5658609                                                * 0                       users:(("master",pid=12165,fd=72)) <-> ino:158623 dev:0/60 peers:              
u_str  LISTEN     0       100                                      private/lmtp 5658612                                                * 0                       users:(("master",pid=12165,fd=75)) <-> ino:158624 dev:0/60 peers:              
u_str  LISTEN     0       100                                     private/anvil 5658615                                                * 0                       users:(("master",pid=12165,fd=78)) <-> ino:158625 dev:0/60 peers:              
u_str  LISTEN     0       100                                    private/scache 5658618                                                * 0                       users:(("master",pid=12165,fd=81)) <-> ino:158626 dev:0/60 peers:              
u_dgr  UNCONN     0       0                                      public/postlog 5658621                                                * 0                       users:(("master",pid=12165,fd=84)) <-> ino:158627 dev:0/60                     
u_str  LISTEN     0       100                                    private/tlsmgr 5658624                                                * 0                       users:(("master",pid=12165,fd=87)) <-> ino:158628 dev:0/60 peers:              
u_dgr  UNCONN     0       0                        /run/user/501/systemd/notify 57253                                                  * 0                       users:(("systemd",pid=4115,fd=14)) <-> ino:57254 dev:0/68                      
u_str  LISTEN     0       128                     /run/user/501/systemd/private 57257                                                  * 0                       users:(("systemd",pid=4115,fd=17)) <-> ino:57258 dev:0/68 peers:               
u_str  LISTEN     0       5                            /run/user/501/pipewire-0 57262                                                  * 0                       users:(("systemd",pid=4115,fd=22)) <-> ino:57263 dev:0/68 peers:               
u_str  LISTEN     0       128                                 /run/user/501/bus 57264                                                  * 0                       users:(("dbus-daemon",pid=4256,fd=3),("systemd",pid=4115,fd=23)) <-> ino:57265 dev:0/68 peers:
u_str  LISTEN     0       5                          /run/user/501/pulse/native 57266                                                  * 0                       users:(("pulseaudio",pid=4364,fd=3),("systemd",pid=4115,fd=25)) <-> ino:57268 dev:0/68 peers:
u_str  LISTEN     0       10                          /run/mcelog/mcelog-client 31155                                                  * 0                       users:(("mcelog",pid=1528,fd=4)) <-> ino:31156 dev:0/25 peers:                 
u_dgr  UNCONN     0       0                         /run/systemd/journal/syslog 21950                                                  * 0                       users:(("rsyslogd",pid=1522,fd=3),("systemd",pid=1,fd=178)) <-> ino:21951 dev:0/25
u_seq  LISTEN     0       128                                 /run/udev/control 5762506                                                * 0                       users:(("systemd-udevd",pid=11447,fd=3),("systemd",pid=1,fd=60)) <-> ino:5762507 dev:0/25 peers:
u_str  LISTEN     0       50       /run/user/501/klauncherehyYCx.1.slave-socket 57293                                                  * 0                       users:(("klauncher",pid=4276,fd=10)) <-> ino:57294 dev:0/68 peers:             
u_str  LISTEN     0       128                                 /tmp/.X11-unix/X0 57649                                                  * 0                       users:(("X",pid=4242,fd=6)) <-> ino:466 dev:0/55 peers:                        
u_str  LISTEN     0       128                               /tmp/.ICE-unix/4315 63525                                                  * 0                       users:(("ksmserver",pid=4315,fd=13)) <-> ino:470 dev:0/55 peers:               
u_str  LISTEN     0       5                                /tmp/.esd-501/socket 47654                                                  * 0                       users:(("pulseaudio",pid=4364,fd=33)) <-> ino:474 dev:0/55 peers:              
u_str  LISTEN     0       128                              /run/systemd/private 5760737                                                * 0                       users:(("systemd",pid=1,fd=16)) <-> ino:5760738 dev:0/25 peers:                
u_str  LISTEN     0       128                       /run/dbus/system_bus_socket 29166                                                  * 0                       users:(("dbus-daemon",pid=1408,fd=3),("systemd",pid=1,fd=157)) <-> ino:29168 dev:0/25 peers:
u_str  LISTEN     0       128                         /var/run/pcscd/pcscd.comm 29172                                                  * 0                       users:(("systemd",pid=1,fd=42)) <-> ino:29174 dev:0/25 peers:                  
u_str  LISTEN     0       128                          /run/avahi-daemon/socket 29175                                                  * 0                       users:(("avahi-daemon",pid=1496,fd=3),("systemd",pid=1,fd=175)) <-> ino:29177 dev:0/25 peers:
u_str  ESTAB      0       0                         /run/systemd/journal/stdout 15089                                                  * 43033                   users:(("systemd-journal",pid=11264,fd=10),("systemd",pid=1,fd=150)) <-- ino:20081 dev:0/25
u_str  ESTAB      0       0                                                   * 52544                                                  * 57665                   users:(("kded5",pid=4284,fd=17)) <->                                           
u_str  ESTAB      0       0                                  @/tmp/.X11-unix/X0 31550                                                  * 63520                   users:(("X",pid=4242,fd=40)) <->                                               
u_str  ESTAB      0       0                                                   * 32559                                                  * 41449                   users:(("(sd-pam",pid=2229,fd=2),("(sd-pam",pid=2229,fd=1),("systemd",pid=2228,fd=2),("systemd",pid=2228,fd=1)) -->
u_str  ESTAB      0       0                         /run/systemd/journal/stdout 41427                                                  * 30424                   users:(("systemd-journal",pid=11264,fd=16),("systemd",pid=1,fd=144)) <-- ino:20081 dev:0/25
u_str  ESTAB      0       0                                                   * 46655                                                  * 30638                   users:(("obexd",pid=3174,fd=6)) <->                                            
u_str  ESTAB      0       0                         /run/systemd/journal/stdout 39001                                                  * 17318                   users:(("systemd-journal",pid=11264,fd=15),("systemd",pid=1,fd=145)) <-- ino:20081 dev:0/25
u_str  ESTAB      0       0                         /run/systemd/journal/stdout 8794175                                                * 8650491                 users:(("systemd-journal",pid=11264,fd=57),("systemd",pid=1,fd=115)) <-- ino:20081 dev:0/25
u_str  ESTAB      0       0                                                   * 26504                                                  * 54967                   users:(("kwin_x11",pid=4318,fd=3)) <->                                         
u_str  ESTAB      0       0                         /run/systemd/journal/stdout 44481                                                  * 24255                   users:(("systemd-journal",pid=11264,fd=22),("systemd",pid=1,fd=138)) <-- ino:20081 dev:0/25
u_str  ESTAB      0       0                                                   * 5658598                                                * 5658599                 users:(("master",pid=12165,fd=61)) <->                                         
u_str  ESTAB      0       0                                                   * 5658590                                                * 5658589                 users:(("master",pid=12165,fd=53)) <->                                         
u_str  ESTAB      0       0                                                   * 43906                                                  * 65575                   users:(("obexd",pid=4513,fd=2)) -->                                            
u_str  ESTAB      0       0                                                   * 74548                                                  * 59143                   users:(("kwalletd5",pid=5442,fd=2)) -->                                        
u_str  ESTAB      0       0                                                   * 47644                                                  * 56031                   users:(("pulseaudio",pid=4364,fd=15)) <->                                      
u_str  ESTAB      0       0                                                   * 9497533                                                * 9497534                 users:(("sshd",pid=25439,fd=5)) <->                                            
u_str  ESTAB      0       0                                   /run/user/501/bus 53442                                                  * 52198                   users:(("dbus-daemon",pid=4256,fd=17)) <-> ino:57265 dev:0/68                  
u_dgr  UNCONN     0       0                                                   * 13983                                                  * 20076                   users:(("avahi-daemon",pid=1496,fd=4)) <->                                     
u_str  ESTAB      0       0                                                   * 34062                                                  * 34061                   users:(("auditd",pid=1149,fd=10)) <->                                          
u_str  ESTAB      0       0                         /run/dbus/system_bus_socket 64595                                                  * 56077                   users:(("dbus-daemon",pid=1408,fd=43)) <-> ino:29168 dev:0/25                  
u_str  ESTAB      0       0                         /run/systemd/journal/stdout 5735732                                                * 5760722                 users:(("systemd-journal",pid=11264,fd=46),("systemd",pid=1,fd=117)) <-- ino:20081 dev:0/25
u_str  ESTAB      0       0                                                   * 3568716                                                * 3568715                 users:(("unbound",pid=11851,fd=27)) <->                                        
u_str  ESTAB      0       0                                                   * 58933                                                  * 49897                   users:(("xdg-desktop-por",pid=4442,fd=8)) <->                                  
u_dgr  UNCONN     0       0                                                   * 61575                                                  * 61576                   users:(("systemd",pid=1,fd=107)) <->                                           
u_str  ESTAB      0       0                         /run/dbus/system_bus_socket 47099                                                  * 57651                   users:(("dbus-daemon",pid=1408,fd=15)) <-> ino:29168 dev:0/25                  
u_dgr  UNCONN     0       0                                                   * 9842802                                                * 20076                   users:(("sshd",pid=28230,fd=3),("sshd",pid=28228,fd=3)) <->                    
u_str  ESTAB      0       0                                                   * 3568702                                                * 3568701                 users:(("unbound",pid=11851,fd=13)) <->                                        
u_str  ESTAB      0       0                                                   * 31580                                                  * 65583                   users:(("plasmashell",pid=4323,fd=26)) <->                                     
u_str  ESTAB      0       0                                  @/tmp/.X11-unix/X0 54964                                                  * 31556                   users:(("X",pid=4242,fd=41)) <->                                               
u_str  ESTAB      0       0                                                   * 9530733                                                * 9530732                 users:(("sshd",pid=23654,fd=8)) <->                                            
u_dgr  UNCONN     0       0                                                   * 8729182                                                * 20076                   users:(("openconnect",pid=1681,fd=6)) <->                                      
u_str  ESTAB      0       0                                                   * 55187                                                  * 43898                   users:(("kscreen_backend",pid=4486,fd=7)) <->                                  
u_str  ESTAB      0       0                                                   * 52543                                                  * 57664                   users:(("kactivitymanage",pid=4338,fd=7)) <->                                  
u_dgr  UNCONN     0       0                                                   * 32567                                                  * 20082                   users:(("systemd",pid=2228,fd=3)) <->                                          
u_str  ESTAB      0       0                                                   * 26850                                                  * 28365                   users:(("haveged",pid=799,fd=2),("haveged",pid=799,fd=1)) -->                  
u_dgr  UNCONN     0       0                                                   * 5764086                                                * 20076                   users:(("master",pid=12165,fd=3)) <->                                          
u_str  ESTAB      0       0                                                   * 57278                                                  * 47102                   users:(("systemd",pid=4115,fd=18)) <->                                         
u_str  ESTAB      0       0                                                   * 5772290                                                * 5772289                 users:(("master",pid=12165,fd=89)) <->                                         
u_str  ESTAB      0       0                                  @/tmp/.X11-unix/X0 62501                                                  * 26512                   users:(("X",pid=4242,fd=53)) <->                                               
u_str  ESTAB      0       0                                                   * 56027                                                  * 31541                   users:(("dconf-service",pid=4303,fd=5)) <->                                    
u_str  ESTAB      0       0                                                   * 5658586                                                * 5658587                 users:(("master",pid=12165,fd=49)) <->                                         
u_str  ESTAB      0       0                         /run/systemd/journal/stdout 65566                                                  * 43894                   users:(("systemd-journal",pid=11264,fd=37),("systemd",pid=1,fd=124)) <-- ino:20081 dev:0/25
u_str  ESTAB      0       0                                  @/tmp/.X11-unix/X0 63542                                                  * 43862                   users:(("X",pid=4242,fd=50)) <->                                               
u_str  ESTAB      0       0                                                   * 44199                                                  * 29309                   users:(("sshd",pid=1613,fd=2),("sshd",pid=1613,fd=1)) -->                      
u_dgr  UNCONN     0       0                                                   * 96282                                                  * 20076                   users:(("rpc.mountd",pid=9111,fd=6)) <->                                       
u_str  ESTAB      0       0                                   /run/user/501/bus 57657                                                  * 49888                   users:(("dbus-daemon",pid=4256,fd=22)) <-> ino:57265 dev:0/68                  
u_str  ESTAB      0       0                                                   * 47203                                                  * 48245                   users:(("systemd",pid=2228,fd=19)) <->                                         
u_str  ESTAB      0       0                                                   * 63503                                                  * 56008                   users:(("kdeinit5",pid=4275,fd=9)) <->                                         
u_str  ESTAB      0       0                                                   * 57305                                                  * 64517                   users:(("ksmserver",pid=4315,fd=9)) <->                                        
u_str  ESTAB      0       0                                                   * 5658565                                                * 5658566                 users:(("master",pid=12165,fd=28)) <->                                         
u_str  ESTAB      0       0                                                   * 5658619                                                * 5658620                 users:(("master",pid=12165,fd=82)) <->                                         
u_str  ESTAB      0       0                                                   * 5658581                                                * 5658580                 users:(("master",pid=12165,fd=44)) <->                                         
u_str  ESTAB      0       0                                                   * 3568705                                                * 3568706                 users:(("unbound",pid=11851,fd=16)) <->                                        
u_str  ESTAB      0       0                                                   * 26506                                                  * 63533                   users:(("kwin_x11",pid=4318,fd=6)) <->                                         
u_str  ESTAB      0       0                         /run/dbus/system_bus_socket 14282                                                  * 58911                   users:(("dbus-daemon",pid=1408,fd=25)) <-> ino:29168 dev:0/25                  
u_str  ESTAB      0       0                         /run/systemd/journal/stdout 52530                                                  * 57663                   users:(("systemd-journal",pid=11264,fd=33),("systemd",pid=1,fd=128)) <-- ino:20081 dev:0/25
u_str  ESTAB      0       0                                                   * 17781                                                  * 38940                   users:(("avahi-daemon",pid=1496,fd=2),("avahi-daemon",pid=1496,fd=1)) -->      
u_str  ESTAB      0       0                         /run/dbus/system_bus_socket 16075                                                  * 45339                   users:(("dbus-daemon",pid=1408,fd=29)) <-> ino:29168 dev:0/25                  
u_str  ESTAB      0       0                                                   * 63499                                                  * 63498                   users:(("klauncher",pid=4276,fd=9)) <->                                        
u_str  ESTAB      0       0                                                   * 30637                                                  * 34450                   users:(("obexd",pid=3174,fd=2)) -->                                            
u_dgr  UNCONN     0       0                                                   * 32581                                                  * 32580                   users:(("systemd",pid=2228,fd=16)) <->                                         
u_str  ESTAB      0       0                                @/tmp/.ICE-unix/4315 63552                                                  * 47664                   users:(("ksmserver",pid=4315,fd=21)) <->                                       
u_str  ESTAB      0       0                                  @/tmp/.X11-unix/X0 54973                                                  * 52205                   users:(("X",pid=4242,fd=46)) <->                                               
u_str  ESTAB      0       0                                                   * 101662                                                 * 87576                   <->                                                                            
u_str  ESTAB      0       0                                                   * 31567                                                  * 14300                   users:(("org_kde_powerde",pid=4462,fd=6)) <->                                  
u_str  ESTAB      0       0                                @/tmp/.ICE-unix/4315 63532                                                  * 31558                   users:(("ksmserver",pid=4315,fd=14)) <->                                       
u_str  ESTAB      0       0                         /run/dbus/system_bus_socket 5769764                                                * 5764999                 users:(("dbus-daemon",pid=1408,fd=9)) <-> ino:29168 dev:0/25                   
u_str  ESTAB      0       0                                                   * 5658614                                                * 5658613                 users:(("master",pid=12165,fd=77)) <->                                         
u_str  ESTAB      0       0                                                   * 62511                                                  * 57334                   users:(("org_kde_powerde",pid=4462,fd=10)) <->                                 
u_str  ESTAB      0       0                                                   * 26511                                                  * 62500                   users:(("kded5",pid=4284,fd=24)) <->                                           
u_str  ESTAB      0       0                                  @/tmp/.X11-unix/X0 54968                                                  * 57315                   users:(("X",pid=4242,fd=44)) <->                                               
u_str  ESTAB      0       0                                                   * 58887                                                  * 49740                   users:(("(sd-pam",pid=4116,fd=2),("(sd-pam",pid=4116,fd=1),("systemd",pid=4115,fd=2),("systemd",pid=4115,fd=1)) -->
u_str  ESTAB      0       0                                                   * 43860                                                  * 54975                   users:(("kdeconnectd",pid=4345,fd=3)) <->                                      
u_str  ESTAB      0       0                                                   * 3568714                                                * 3568713                 users:(("unbound",pid=11851,fd=25)) <->                                        
u_str  ESTAB      0       0                         /run/dbus/system_bus_socket 64517                                                  * 57305                   users:(("dbus-daemon",pid=1408,fd=23)) <-> ino:29168 dev:0/25                  
u_str  ESTAB      0       0                                                   * 47104                                                  * 53441                   users:(("startplasma-x11",pid=4250,fd=9)) <->                                  
u_str  ESTAB      0       0                                                   * 53448                                                  * 57325                   users:(("gconfd-2",pid=4392,fd=6)) <->                                         
u_str  ESTAB      0       0                                                   * 48242                                                  * 48243                   users:(("dbus-daemon",pid=2878,fd=7)) <->                                      
u_str  ESTAB      0       0                         /run/systemd/journal/stdout 41508                                                  * 48235                   users:(("systemd-journal",pid=11264,fd=18),("systemd",pid=1,fd=142)) <-- ino:20081 dev:0/25
u_str  ESTAB      0       0                                                   * 70834                                                  * 77887                   users:(("kwalletd5",pid=5442,fd=3)) <->                                        
u_str  ESTAB      0       0                         /run/dbus/system_bus_socket 41088                                                  * 13990                   users:(("dbus-daemon",pid=1408,fd=10)) <-> ino:29168 dev:0/25                  
u_str  ESTAB      0       0                         /run/systemd/journal/stdout 95478                                                  * 87545                   users:(("systemd-journal",pid=11264,fd=42),("systemd",pid=1,fd=119)) <-- ino:20081 dev:0/25
u_str  ESTAB      0       0                         /run/dbus/system_bus_socket 43296                                                  * 47202                   users:(("dbus-daemon",pid=1408,fd=16)) <-> ino:29168 dev:0/25                  
u_dgr  UNCONN     0       0                                                   * 58891                                                  * 20076                   users:(("(sd-pam",pid=4116,fd=7)) <->                                          
u_str  ESTAB      0       0                                                   * 15801                                                  * 31936                   users:(("openconnect",pid=1681,fd=2),("openconnect",pid=1681,fd=1),("nm-openconnect-",pid=1555,fd=2),("nm-openconnect-",pid=1555,fd=1),("NetworkManager",pid=1483,fd=2),("NetworkManager",pid=1483,fd=1)) -->
u_str  ESTAB      0       0                                                   * 5658578                                                * 5658577                 users:(("master",pid=12165,fd=41)) <->                                         
u_str  ESTAB      0       0                                                   * 26483                                                  * 26482                   users:(("dbus-daemon",pid=4256,fd=7)) <->                                      
